FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240101;0100;13;;;
240101;0200;12;;;
240101;0300;7;;;
240101;0400;4;;;
240101;0500;6;;;
240101;0600;4;;;
240101;0700;3;;;
240101;0800;5;;;
240101;0900;6;;;
240101;1000;4;;;
240101;1100;4;;;
240101;1200;3;;;
240101;1300;3;;;
240101;1400;4;;;
240101;1500;3;;;
240101;1600;3;;;
240101;1700;3;;;
240101;1800;3;;;
240101;1900;4;;;
240101;2000;4;;;
240101;2100;12;;;
240101;2200;7;;;
240101;2300;5;;;
240102;0000;5;;;
240102;0100;4;;;
240102;0200;9;;;
240102;0300;8;;;
240102;0400;8;;;
240102;0500;7;;;
240102;0600;8;;;
240102;0700;6;;;
240102;0800;4;;;
240102;0900;5;;;
240102;1000;3;;;
240102;1100;2;;;
240102;1200;2;;;
240102;1300;28;;;
240102;1400;6;;;
240102;1500;7;;;
240102;1600;8;;;
240102;1700;10;;;
240102;1800;5;;;
240102;1900;2;;;
240102;2000;3;;;
240102;2100;7;;;
240102;2200;8;;;
240102;2300;4;;;
240103;0000;1;;;
240103;0100;2;;;
240103;0200;5;;;
240103;0300;3;;;
240103;0400;1;;;
240103;0500;;;;
240103;0600;;;;
240103;0700;;;;
240103;0800;5;;;
240103;0900;5;;;
240103;1000;7;;;
240103;1100;7;;;
240103;1200;3;;;
240103;1300;5;;;
240103;1400;4;;;
240103;1500;6;;;
240103;1600;6;;;
240103;1700;6;;;
240103;1800;3;;;
240103;1900;2;;;
240103;2000;6;;;
240103;2100;13;;;
240103;2200;11;;;
240103;2300;5;;;
240104;0000;1;;;
240104;0100;1;;;
240104;0200;2;;;
240104;0300;1;;;
240104;0400;4;;;
240104;0500;4;;;
240104;0600;4;;;
240104;0700;5;;;
240104;0800;7;;;
240104;0900;8;;;
240104;1000;7;;;
240104;1100;6;;;
240104;1200;4;;;
240104;1300;;;7;
240104;1400;7;;;
240104;1500;9;;;
240104;1600;14;;;
240104;1700;8;;;
240104;1800;10;;;
240104;1900;14;;;
240104;2000;26;;;
240104;2100;21;;;
240104;2200;5;;;
240104;2300;3;;;
240105;0000;2;;;
240105;0100;2;;;
240105;0200;3;;;
240105;0300;3;;;
240105;0400;1;;;
240105;0500;2;;;
240105;0600;18;;;
240105;0700;21;;;
240105;0800;15;;;
240105;0900;1;;;
240105;1000;2;;;
240105;1100;2;;;
240105;1200;4;;;
240105;1300;4;;;
240105;1400;5;;;
240105;1500;3;;;
240105;1600;1;;;
240105;1700;1;;;
240105;1800;6;;;
240105;1900;7;;;
240105;2000;6;;;
240105;2100;9;;;
240105;2200;14;;;
240105;2300;7;;;
240106;0000;3;;;
240106;0100;4;;;
240106;0200;3;;;
240106;0300;3;;;
240106;0400;14;;;
240106;0500;9;;;
240106;0600;7;;;
240106;0700;8;;;
240106;0800;6;;;
240106;0900;7;;;
240106;1000;5;;;
240106;1100;7;;;
240106;1200;5;;;
240106;1300;7;;;
240106;1400;4;;;
240106;1500;6;;;
240106;1600;7;;;
240106;1700;8;;;
240106;1800;7;;;
240106;1900;9;;;
240106;2000;16;;;
240106;2100;16;;;
240106;2200;15;;;
240106;2300;8;;;
240107;0000;6;;;
240107;0100;5;;;
240107;0200;4;;;
240107;0300;1;;;
240107;0400;2;;;
240107;0500;4;;;
240107;0600;4;;;
240107;0700;3;;;
240107;0800;3;;;
240107;0900;3;;;
240107;1000;6;;;
240107;1100;5;;;
240107;1200;7;;;
240107;1300;10;;;
240107;1400;8;;;
240107;1500;5;;;
240107;1600;8;;;
240107;1700;4;;;
240107;1800;11;;;
240107;1900;11;;;
240107;2000;18;;;
240107;2100;21;;;
240107;2200;16;;;
240107;2300;14;;;
240108;0000;9;;;
240108;0100;5;;;
240108;0200;4;;;
240108;0300;5;;;
240108;0400;3;;;
240108;0500;5;;;
240108;0600;10;;;
240108;0700;7;;;
240108;0800;7;;;
240108;0900;5;;;
240108;1000;3;;;
240108;1100;6;;;
240108;1200;6;;;
240108;1300;8;;;
240108;1400;5;;;
240108;1500;4;;;
240108;1600;5;;;
240108;1700;7;;;
240108;1800;8;;;
240108;1900;9;;;
240108;2000;9;;;
240108;2100;10;;;
240108;2200;6;;;
240108;2300;4;;;
240109;0000;4;;;
240109;0100;3;;;
240109;0200;1;;;
240109;0300;2;;;
240109;0400;1;;;
240109;0500;5;;;
240109;0600;4;;;
240109;0700;5;;;
240109;0800;6;;;
240109;0900;13;;;
240109;1000;8;;;
240109;1100;6;;;
240109;1200;5;;;
240109;1300;5;;;
240109;1400;5;;;
240109;1500;3;;;
240109;1600;1;;;
240109;1700;5;;;
240109;1800;9;;;
240109;1900;7;;;
240109;2000;17;;;
240109;2100;11;;;
240109;2200;9;;;
240109;2300;7;;;
240110;0000;6;;;
240110;0100;9;;;
240110;0200;10;;;
240110;0300;8;;;
240110;0400;8;;;
240110;0500;10;;;
240110;0600;16;;;
240110;0700;9;;;
240110;0800;5;;;
240110;0900;9;;;
240110;1000;8;;;
240110;1100;7;;;
240110;1200;4;;;
240110;1300;1;;;
240110;1400;2;;;
240110;1500;4;;;
240110;1600;6;;;
240110;1700;4;;;
240110;1800;3;;;
240110;1900;3;;;
240110;2000;7;;;
240110;2100;7;;;
240110;2200;7;;;
240110;2300;4;;;
240111;0000;3;;;
240111;0100;2;;;
240111;0200;5;;;
240111;0300;4;;;
240111;0400;7;;;
240111;0500;16;;;
240111;0600;12;;;
240111;0700;10;;;
240111;0800;8;;;
240111;0900;6;;;
240111;1000;3;;;
240111;1100;3;;;
240111;1200;4;;;
240111;1300;3;;;
240111;1400;2;;;
240111;1500;3;;;
240111;1600;3;;;
240111;1700;6;;;
240111;1800;7;;;
240111;1900;8;;;
240111;2000;7;;;
240111;2100;4;;;
240111;2200;3;;;
240111;2300;5;;;
240112;0000;4;;;
240112;0100;4;;;
240112;0200;5;;;
240112;0300;7;;;
240112;0400;4;;;
240112;0500;3;;;
240112;0600;6;;;
240112;0700;5;;;
240112;0800;2;;;
240112;0900;2;;;
240112;1000;4;;;
240112;1100;6;;;
240112;1200;3;;;
240112;1300;4;;;
240112;1400;4;;;
240112;1500;4;;;
240112;1600;4;;;
240112;1700;5;;;
240112;1800;3;;;
240112;1900;3;;;
240112;2000;3;;;
240112;2100;8;;;
240112;2200;10;;;
240112;2300;5;;;
240113;0000;1;;;
240113;0100;1;;;
240113;0200;2;;;
240113;0300;2;;;
240113;0400;2;;;
240113;0500;2;;;
240113;0600;4;;;
240113;0700;4;;;
240113;0800;8;;;
240113;0900;7;;;
240113;1000;4;;;
240113;1100;4;;;
240113;1200;7;;;
240113;1300;8;;;
240113;1400;6;;;
240113;1500;6;;;
240113;1600;8;;;
240113;1700;9;;;
240113;1800;9;;;
240113;1900;8;;;
240113;2000;9;;;
240113;2100;9;;;
240113;2200;6;;;
240113;2300;7;;;
240114;0000;6;;;
240114;0100;1;;;
240114;0200;1;;;
240114;0300;1;;;
240114;0400;3;;;
240114;0500;1;;;
240114;0600;1;;;
240114;0700;1;;;
240114;0800;5;;;
240114;0900;8;;;
240114;1000;8;;;
240114;1100;6;;;
240114;1200;5;;;
240114;1300;6;;;
240114;1400;3;;;
240114;1500;2;;;
240114;1600;5;;;
240114;1700;3;;;
240114;1800;3;;;
240114;1900;6;;;
240114;2000;5;;;
240114;2100;5;;;
