year,month,day,HORA (HHMM),value
13,09,01,0100,184.0
13,09,02,1900,307.0
13,09,03,0000,311.0
13,09,04,2300,292.0
13,09,05,0100,229.0
13,09,06,2300,260.0
13,09,07,0100,222.0
13,09,08,1000,181.0
13,09,09,0600,213.0
13,09,10,1900,191.0
13,09,11,0700,247.0
13,09,12,2300,439.0
13,09,13,2200,540.0
13,09,14,2300,481.0
13,09,15,2100,497.0
13,09,16,0000,285.0
13,09,17,2300,187.0
13,09,18,0000,212.0
13,09,19,2300,121.0
13,09,20,2100,120.0
13,09,21,2100,209.0
13,09,22,2200,265.0
13,09,23,2200,291.0
13,09,24,2000,388.0
13,09,25,0600,232.0
13,09,26,2100,349.0
13,09,27,2300,394.0
13,09,28,0000,321.0
13,09,29,2300,304.0
13,09,30,0000,299.0
13,10,01,2100,133.0
13,10,02,2200,182.0
13,10,03,0600,194.0
13,10,04,1900,76.0
13,10,05,2000,86.0
13,10,06,2100,105.0
13,10,07,2100,185.0
13,10,08,0000,188.0
13,10,09,1800,61.0
13,10,10,2100,321.0
13,10,11,0000,175.0
13,10,12,0600,75.0
13,10,13,1900,91.0
13,10,14,1800,94.0
13,10,15,2000,81.0
13,10,16,0600,76.0
13,10,17,0000,65.0
13,10,18,2100,140.0
13,10,19,0100,47.0
13,10,20,1900,65.0
13,10,21,1900,94.0
13,10,22,2000,83.0
13,10,23,2300,281.0
13,10,24,0000,138.0
13,10,25,2000,61.0
13,10,26,2300,98.0
13,10,27,2200,106.0
13,10,28,2100,239.0
13,10,29,0600,108.0
13,10,30,0600,92.0
13,10,31,2300,74.0
13,11,01,0100,46.0
13,11,02,2200,152.0
13,11,03,2300,86.0
13,11,04,0100,99.0
13,11,05,0600,56.0
13,11,06,2000,37.0
13,11,07,2100,80.0
13,11,08,2100,312.0
13,11,09,0000,185.0
13,11,10,2200,58.0
13,11,11,2000,100.0
13,11,12,2200,130.0
13,11,13,0600,147.0
13,11,14,0100,69.0
13,11,15,1900,49.0
13,11,16,0200,62.0
13,11,17,2000,58.0
13,11,18,0800,41.0
13,11,19,2000,34.0
13,11,20,2000,38.0
13,11,21,2000,53.0
13,11,22,2000,47.0
13,11,23,2100,59.0
13,11,24,2300,126.0
13,11,25,0000,170.0
13,11,26,2200,89.0
13,11,27,2000,46.0
13,11,28,0600,35.0
13,11,29,2200,39.0
13,11,30,0100,42.0
13,12,01,1900,43.0
13,12,02,0700,42.0
13,12,03,2000,49.0
13,12,04,2100,51.0
13,12,05,0500,46.0
13,12,06,0000,40.0
13,12,07,2100,34.0
13,12,08,2300,36.0
13,12,09,0600,37.0
13,12,10,2300,41.0
13,12,11,0600,26.0
13,12,12,2100,34.0
13,12,13,0600,20.0
13,12,14,2100,17.0
13,12,15,2100,16.0
13,12,16,0600,23.0
13,12,17,2000,24.0
13,12,18,0600,17.0
13,12,19,0700,42.0
13,12,20,2200,14.0
13,12,21,0700,16.0
13,12,22,2200,30.0
13,12,23,2300,21.0
13,12,24,2000,19.0
13,12,25,2100,27.0
13,12,26,2000,17.0
13,12,27,1900,28.0
13,12,28,2100,30.0
13,12,29,2000,39.0
13,12,30,2000,20.0
13,12,31,2100,93.0
14,01,01,2100,43.0
14,01,02,2200,88.0
14,01,03,2100,40.0
14,01,04,0700,24.0
14,01,05,2000,19.0
14,01,06,1900,24.0
14,01,07,1900,22.0
14,01,08,2000,71.0
14,01,09,2100,27.0
14,01,10,2200,30.0
14,01,11,0200,22.0
14,01,12,0100,23.0
14,01,13,0700,12.0
14,01,14,2200,17.0
14,01,15,0500,14.0
14,01,16,2000,10.0
14,01,17,1900,34.0
14,01,18,0600,23.0
14,01,19,0000,11.0
14,01,20,2100,36.0
14,01,21,2100,35.0
14,01,22,2200,73.0
14,01,23,2000,103.0
14,01,24,0000,55.0
14,01,25,0000,29.0
14,01,26,1200,16.0
14,01,27,2100,25.0
14,01,28,0600,21.0
14,01,29,1600,55.0
14,01,30,1600,30.0
14,01,31,1600,28.0
14,02,01,2000,59.0
14,02,02,2200,28.0
14,02,03,2000,33.0
14,02,04,0800,64.0
14,02,05,2000,29.0
14,02,06,2000,53.0
14,02,07,1900,35.0
14,02,08,2100,30.0
14,02,09,2100,33.0
14,02,10,0600,59.0
14,02,11,2100,43.0
14,02,12,2100,112.0
14,02,13,0500,67.0
14,02,14,0600,88.0
14,02,15,0600,46.0
14,02,16,0700,33.0
14,02,17,0600,15.0
14,02,18,2200,76.0
14,02,19,2300,73.0
14,02,20,0600,43.0
14,02,21,2000,33.0
14,02,22,0700,26.0
14,02,23,2000,30.0
14,02,24,2100,151.0
14,02,25,0600,80.0
14,02,26,0600,48.0
14,02,27,1900,37.0
14,02,28,2000,124.0
14,03,01,0600,29.0
14,03,02,0600,27.0
14,03,03,0600,71.0
14,03,04,0800,41.0
14,03,05,1100,17.0
14,03,06,2000,38.0
14,03,07,0600,74.0
14,03,08,2100,42.0
14,03,09,1900,43.0
14,03,10,0600,84.0
14,03,11,0600,62.0
14,03,12,2000,106.0
14,03,13,0600,42.0
14,03,14,2100,93.0
14,03,15,1800,140.0
14,03,16,2000,112.0
14,03,17,2000,122.0
14,03,18,2300,157.0
14,03,19,0000,101.0
14,03,20,1900,66.0
14,03,21,1900,66.0
14,03,22,0800,30.0
14,03,23,2100,225.0
14,03,24,0000,153.0
14,03,25,0700,73.0
14,03,26,2000,91.0
14,03,27,1900,73.0
14,03,28,2100,154.0
14,03,29,1900,160.0
14,03,30,1900,99.0
14,03,31,2200,468.0
14,04,01,2300,457.0
14,04,02,2200,426.0
14,04,03,0900,328.0
14,04,04,2000,364.0
14,04,05,2200,293.0
14,04,06,2100,301.0
14,04,07,0700,260.0
