comuna,diff_izq,pdg,total_votos
ANTOFAGASTA,-58452.0,34873.0,93325.0
PUENTE ALTO,405.0,60097.0,59692.0
MAIPU,-17267.0,35684.0,52951.0
ARICA,-35595.0,14191.0,49786.0
COQUIMBO,-30590.0,13489.0,44079.0
PUERTO MONTT,-25736.0,15112.0,40848.0
SAN BERNARDO,-19541.0,20920.0,40461.0
RANCAGUA,-20034.0,16603.0,36637.0
LOS ANGELES,-17164.0,18062.0,35226.0
LA FLORIDA,479.0,33900.0,33421.0
VIÑA DEL MAR,-12625.0,20055.0,32680.0
VALPARAISO,-11005.0,21616.0,32621.0
TEMUCO,-15594.0,16726.0,32320.0
CALAMA,-12031.0,20175.0,32206.0
CURICO,-22281.0,9475.0,31756.0
CONCEPCION,-18948.0,12316.0,31264.0
COPIAPO,-15713.0,13672.0,29385.0
IQUIQUE,-14473.0,11995.0,26468.0
LA PINTANA,3906.0,29152.0,25246.0
OSORNO,-13619.0,11315.0,24934.0
